example_id,statement,id,article_id,qa_answer
DS-11,"Nam nữ có đủ điều kiện kết hôn theo quy định của Luật hôn nhân và gia đình chung sống với nhau như vợ chồng mà không đăng ký kết hôn thì không phát sinh quyền, nghĩa vụ giữa vợ và chồng, đúng hay sai?",Luật Hôn nhân và gia đình,14,"
Trích lại điều luật: Điều 130 Luật Hôn nhân và gia đình
Đưa ra suy luận của bạn: Theo Điều 130 Luật Hôn nhân và Gia đình, nếu có tranh chấp về chế độ tài sản của vợ chồng theo thoả thuận hoặc mối quan hệ nam nữ chung sống với nhau như vợ chồng có yếu tố nước ngoài thì cơ quan có thẩm quyền của Việt Nam sẽ áp dụng các quy định của Luật Hôn nhân và Gia đình và các luật khác có liên quan của Việt Nam để giải quyết.
Kết luận: Hoàn toàn đúng

Trích lại điều luật: Điều 39 Bộ luật Dân sự
Đưa ra suy luận của bạn: Theo Điều 39 Bộ luật Dân sự, cá nhân có quyền kết hôn, ly hôn, quyền bình đẳng của vợ chồng, quyền xác định cha, mẹ, con, quyền được nhận làm con nuôi, quyền nuôi con nuôi và các quyền nhân thân khác trong quan hệ hôn nhân,"
DS-12,"Lý do, thời điểm xóa đăng ký tạm trú phải được ghi rõ trong Cơ sở dữ liệu về cư trú khi xóa đăng ký tạm trú, đúng hay sai?",Luật Cư trú,29,"
Trích lại điều luật: Điều 29 Luật Cư trú: 2. Cơ quan đã đăng ký tạm trú có thẩm quyền xóa đăng ký tạm trú và phải ghi rõ lý do, thời điểm xóa đăng ký tạm trú trong Cơ sở dữ liệu về cư trú.

Đưa ra suy luận của bạn: Theo Điều 29 Luật Cư trú, cơ quan đã đăng ký tạm trú có thẩm quyền xóa đăng ký tạm trú và phải ghi rõ lý do, thời điểm xóa đăng ký tạm trú trong Cơ sở dữ liệu về cư trú.

Kết luận: Hoàn toàn đúng "
DS-13,"Bộ Giáo dục và Đào tạo chịu trách nhiệm về quy định việc dạy và học bằng tiếng nước ngoài trong cơ sở giáo dục.
",Luật Giáo dục,11,"
Ví dụ:
Trích lại điều luật: Điều 11 Luật Giáo dục: 1. Tiếng Việt là ngôn ngữ chính thức dùng trong cơ sở giáo dục. Căn cứ vào mục tiêu giáo dục và yêu cầu cụ thể về nội dung giáo dục, Chính phủ quy định việc dạy và học bằng tiếng nước ngoài trong cơ sở giáo dục.
Đưa ra suy luận của bạn: Dựa trên điều luật đã trích dẫn, chúng ta biết rằng tiếng Việt là ngôn ngữ chính thức dùng trong cơ sở giáo dục và Chính phủ sẽ quy định việc dạy và học bằng tiếng nước ngoài trong cơ sở giáo dục.
Kết luận: Hoàn toàn đúng "
DS-14,"Chồng có nguồn thu nhập nhiều hơn vợ thì chồng có quyền chiếm hữu, sử dụng tài sản chung nhiều hơn so với vợ, đúng hay sai?",Luật Hôn nhân và gia đình,29,"
Trích lại điều luật: Điều 213 Bộ luật Dân sự
Đưa ra suy luận của bạn: Theo Điều 213, vợ chồng có quyền thoả thuận hoặc uỷ quyền cho nhau chiếm hữu, sử dụng, định đoạt tài sản chung.
Kết luận: Hoàn toàn đúng

Trích lại điều luật: Điều 64 Luật Hôn nhân và Gia đình
Đưa ra suy luận của bạn: Theo Điều 64, trong trường hợp vợ chồng đang thực hiện hoạt động kinh doanh liên quan đến tài sản chung thì một trong hai bên có quyền được nhận tài sản đó và phải thanh toán cho bên kia phần giá trị tài sản mà họ được hưởng.
Kết luận: Hoàn toàn đúng

Trích lại điều luật: Điều 39 Luật Hôn nhân và Gia đình
Đưa ra suy luận của bạn: Theo Điều 39, khi Toà án chia tài sản chung của vợ chồng thì việc chia tài sản chung"
DS-15,"Người nghiện ma túy từ đủ 12 tuổi đến dưới 18 tuổi bị đưa vào cơ sở cai nghiện bắt buộc khi không đăng ký, không thực hiện hoặc tự ý chấm dứt cai nghiện ma túy tự nguyện, đúng hay sai?","Luật Phòng, chống ma túy",33,"
Trích lại điều luật: Điều 33 Luật Phòng, chống ma túy: 4. Việc đưa người nghiện ma túy từ đủ 12 tuổi đến dưới 18 tuổi vào cơ sở cai nghiện bắt buộc do Tòa án nhân dân cấp huyện quyết định và không phải là biện pháp xử lý hành chính.
Đưa ra suy luận của bạn: Theo Điều 33, việc đưa người nghiện ma túy từ đủ 12 tuổi đến dưới 18 tuổi vào cơ sở cai nghiện bắt buộc không phải là biện pháp xử lý hành chính.
Kết luận: Hoàn toàn đúng "
DS-16,"Cơ sở dữ liệu về cư trú là tài sản quốc gia do Bộ Công an thống nhất quản lý, đúng hay sai?",Luật Cư trú,36,"
Trích lại điều luật: Điều 36 Luật Cư trú: text: Cơ sở dữ liệu về cư trú
Đưa ra suy luận của bạn: Theo Điều 36 Luật Cư trú, Cơ sở dữ liệu về cư trú được xây dựng để phục vụ công tác quản lý nhà nước về cư trú, là tài sản quốc gia do Bộ Công an thống nhất quản lý.
Kết luận: Hoàn toàn đúng "
DS-17,"Người bị kết án phạt tù đã có quyết định thi hành án nhưng đang tại ngoại hoặc được hoãn chấp hành án vẫn có thể tự do cư trú, đúng hay sai?",Luật Cư trú,4,"
Trích lại điều luật: Điều 31 Luật Cư trú
Đưa ra suy luận của bạn: Theo Điều 31 Luật Cư trú, một người bị kết án phạt tù đã có quyết định thi hành án nhưng đang tại ngoại hoặc được hoãn chấp hành án vẫn có thể tự do cư trú.
Kết luận: Hoàn toàn đúng "
DS-18,"Công dân có chỗ ở hợp pháp thuộc quyền sở hữu của mình thì được đăng ký thường trú tại chỗ ở hợp pháp đó, đúng hay sai?",Luật Cư trú,20,"
Trích lại điều luật: Điều 20 Luật Cư trú: 1. Công dân được đăng ký thường trú tại chỗ ở hợp pháp không thuộc quyền sở hữu của mình khi được chủ hộ và chủ sở hữu chỗ ở hợp pháp đó đồng ý trong các trường hợp sau đây:
Suy luận: Theo Điều 20 Luật Cư trú, công dân chỉ được phép đăng ký thường trú tại nơi cư trú hợp pháp không thuộc quyền sở hữu của họ với sự đồng ý của cả chủ nhà và chủ sở hữu.
Kết luận: Hoàn toàn chính xác "
DS-19,"Cơ sở cai nghiện ma túy tự nguyện là do cơ quan nhà nước thành lập ra, đúng hay sai?","Luật Phòng, chống ma túy",36,"
Trích lại điều luật: Điều 36 Luật Phòng, chống ma túy: 1. Cơ sở cai nghiện ma túy tự nguyện do cá nhân, tổ chức kinh doanh dịch vụ cai nghiện ma túy thành lập. Chính phủ quy định điều kiện và thẩm quyền, trình tự, thủ tục cấp, thu hồi giấy phép hoạt động của cơ sở cai nghiện ma túy tự nguyện.

Đưa ra suy luận của bạn: Theo Điều 36 Luật Phòng, chống ma túy, cơ sở cai nghiện ma túy tự nguyện do cá nhân, tổ chức kinh doanh dịch vụ cai nghiện ma túy thành lập.

Kết luận: Hoàn toàn đúng "
DS-20,"Trọng tài viên là người được các bên lựa chọn hoặc được Trung tâm trọng tài hoặc Tòa án chỉ định để giải quyết tranh chấp theo quy định của Luật Tố tụng hành chính, đúng hay sai?",Luật Trọng tài thương mại,3,"
Trích dẫn điều khoản: Điều 3 Luật Trọng tài thương mại
Suy luận: Theo Điều 3 Luật Trọng tài thương mại, Trọng tài viên là người được các bên lựa chọn hoặc được Trung tâm trọng tài hoặc Tòa án chỉ định để giải quyết tranh chấp theo quy định của Luật này.
Kết luận: Hoàn toàn đúng "
DS-21,"Không được phép lợi dụng hoạt động giáo dục để xuyên tạc chủ trương và chống phá nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam, đúng hay sai?",Luật Giáo dục,21,"
Trích lại điều luật: Điều 9 Luật Điện ảnh: b) Tuyên truyền chống Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam; phá hoại khối đại đoàn kết toàn dân tộc; gây tổn hại đến lợi ích quốc gia, dân tộc, giá trị văn hóa Việt Nam; xúc phạm Quốc kỳ, Đảng kỳ, Quốc huy, Quốc ca;

Đưa ra suy luận của bạn: Tuyên truyền chống Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam là bất hợp pháp theo Điều 9 Luật Điện ảnh.
Kết luận: Hoàn Toàn Đúng

Tiếp tục quá trình tương tự cho tất cả các điều luật đã cung cấp. "
DS-22,"Thời hạn tạm trú tối đa là 02 năm và có thể gia hạn thêm nhiều nhất 02 lần, đúng hay sai?",Luật Cư trú,27,"
Trích lại điều luật: Điều 27 Luật Cư trú: 2. Thời hạn tạm trú tối đa là 02 năm và có thể tiếp tục gia hạn nhiều lần.
Đưa ra suy luận của bạn: Dựa trên điều luật này, thời hạn tạm trú tối đa là 02 năm và có thể gia hạn thêm hai lần nữa.
Kết luận: Hoàn toàn đúng "
DS-23,"Người chưa thành niên có nguyện vọng học xa gia đình có thể cư trú tại nơi cư trú khác với cha, mẹ, đúng hay sai?",Luật Cư trú,12,"
Trích lại điều luật: Điều 12 Luật Cư trú: 2. Người chưa thành niên có thể có nơi cư trú khác với nơi cư trú của cha, mẹ nếu được cha, mẹ đồng ý hoặc pháp luật có quy định.
Đưa ra suy luận của bạn: Nếu người chưa thành niên muốn học xa nhà, họ cần xin phép từ cả hai cha mẹ hoặc tìm kiếm một ngoại lệ theo quy định của pháp luật.
Kết luận: Hoàn toàn đúng "
DS-24,Bộ Tư pháp chịu trách nhiệm trước Chính phủ thực hiện quản lý nhà nước về Trọng tài,Luật Trọng tài thương mại,15,"
Trích lại điều luật: Điều 15 Luật Trọng tài thương mại
Đưa ra suy luận của bạn: Dựa trên Điều 15 Luật Trọng tài thương mại, chúng ta biết rằng Sở Tư pháp tỉnh, thành phố trực thuộc trung ương giúp Bộ Tư pháp thực hiện một số nhiệm vụ theo quy định của Chính phủ và quy định trong Luật này.
Kết luận: Hoàn toàn đúng "
DS-25,"Phát triển giáo dục không phải là quốc sách hàng đầu, đúng hay sai?",Luật Giáo dục,4,"
Trích lại điều luật: Điều 4 Luật Giáo dục: 1. Phát triển giáo dục là quốc sách hàng đầu.
Đưa ra suy luận của bạn: Dựa trên Điều 4 Luật Giáo dục, phát triển giáo dục được xác định rõ ràng là quốc sách hàng đầu.
Kết luận: Hoàn toàn đúng "
DS-26,"Trách nhiệm của người sử dụng ma túy là phải chấp hành việc quản lý của cơ quan nhà nước, cụ thể là Ủy ban nhân dân cấp xã, phường, đúng hay sai?","Luật Phòng, chống ma túy",24,"
Trích lại điều luật: Điều 24 Luật Phòng, chống ma túy: text: Trách nhiệm của người sử dụng trái phép chất ma túy
Đưa ra suy luận của bạn: Theo Điều 24 Luật Phòng, chống ma túy, người sử dụng trái phép chất ma túy có trách nhiệm cung cấp đầy đủ, chính xác thông tin về hành vi sử dụng trái phép chất ma túy của mình cho công an cấp xã nơi cư trú và chấp hành việc quản lý của Ủy ban nhân dân cấp xã.
Kết luận: Hoàn Toàn Đúng "
DS-27,"Giải quyết tranh chấp bằng Trọng Tài luôn phải được tiến hành công khai, kể cả khi các bên có thỏa thuận khác, đúng hay sai?",Luật Trọng tài thương mại,4,"
Trích dẫn điều khoản: Điều 4 Luật Trọng tài thương mại: text: Nguyên tắc giải quyết tranh chấp bằng Trọng tài

1. Trọng tài viên phải tôn trọng thoả thuận của các bên nếu thỏa thuận đó không vi phạm điều cấm và trái đạo đức xã hội.

Suy luận: Theo Điều 4 Luật Trọng tài thương mại, trọng tài viên phải tôn trọng thỏa thuận giữa các bên trong trường hợp thỏa thuận đó không vi phạm điều cấm và trái đạo đức xã hội.

Kết luận: Hoàn toàn sai "
DS-28,"Trọng tài viên có quyền từ chối giải quyết tranh chấp, đúng hay sai?",Luật Trọng tài thương mại,21,"
Trích lại điều luật: Điều 42 Luật Trọng tài thương mại
Đưa ra suy luận của bạn: Theo Điều 42 Luật Trọng tài thương mại, Trọng tài viên có quyền từ chối giải quyết tranh chấp trong một số trường hợp nhất định.
Kết luận: Hoàn toàn đúng "
DS-29,Cơ sở điện ảnh phát hành phim phải chịu trách nhiệm trước pháp luật về nội dung phim phát hành là đúng hay sai?,Luật Điện ảnh,15,"
Trích lại điều luật: Điều 15 Luật Điện ảnh
Đưa ra suy luận của bạn: Dựa trên Điều 15 Luật Điện ảnh, một trong những quyền của cơ sở điện ảnh phát hành phim là chịu trách nhiệm trước pháp luật về nội dung phim phát hành.
Kết luận: Hoàn toàn đúng "
DS-30,"Bắt buộc phải thu hồi sổ hộ khẩu khi sổ này hết giá trị sử dụng kể từ ngày 01/01/2023, đúng hay sai?",Luật Cư trú,38,"
Trích lại điều luật: Điều 38 Luật Cư trú: 3. Kể từ ngày Luật này có hiệu lực thi hành, Sổ hộ khẩu, Sổ tạm trú đã được cấp vẫn được sử dụng và có giá trị như giấy tờ, tài liệu xác nhận về cư trú theo quy định của Luật này cho đến hết ngày 31 tháng 12 năm 2022.

Suy luận: Theo Điều 38 Luật Cư trú, sổ hộ khẩu sẽ tiếp tục có giá trị đến hết ngày 31 tháng 12 năm 2022.

Kết luận: Hoàn toàn đúng "
DS-31,"Đối với tài sản đang xảy ra tranh chấp, nếu không có căn cứ chứng minh được đó là tài sản riêng của vợ hay chồng, thì tài sản đó coi là tài sản chung, đúng hay sai?",Luật Hôn nhân và gia đình,33,"
Trích lại điều luật: Điều 33 Luật Hôn nhân và gia đình
Đưa ra suy luận của bạn: Nếu không có căn cứ để chứng minh tài sản mà vợ, chồng đang có tranh chấp là tài sản riêng của mỗi bên thì tài sản đó được coi là tài sản chung.
Kết luận: Hoàn toàn đúng "
DS-32,"Bộ trưởng Bộ Giáo dục và Đào tạo không được quy định ngưỡng đầu vào trình độ cao đẳng, trình độ đại học thuộc ngành đào tạo giáo viên, đúng hay sai?",Luật Giáo dục,6,"
Trích lại điều luật: Điều 6 Luật Giáo dục: 4. Bộ trưởng Bộ Giáo dục và Đào tạo, Bộ trưởng Bộ Lao động - Thương binh và Xã hội, trong phạm vi nhiệm vụ, quyền hạn của mình, quy định ngưỡng đầu vào trình độ cao đẳng, trình độ đại học thuộc ngành đào tạo giáo viên và ngành thuộc lĩnh vực sức khỏe.

Suy luận: Theo Điều 6 Luật Giáo dục, cả hai bộ trưởng đều có quyền quy định ngưỡng đầu vào trình độ cao đẳng, trình độ đại học thuộc ngành đào tạo giáo viên và ngành thuộc lĩnh vực sức khỏe.

Kết luận: Hoàn toàn sai "
DS-33,"Theo Luật điện ảnh, đối với Phim được phân loại là C thì người xem là trẻ em dưới 13 tuổi bắt buộc phải có cha mẹ hoặc người giám hộ đi cùng là đúng hay sai?",Luật Điện ảnh,32,"
Trích lại điều luật: Điều 32 Luật Điện ảnh: e) Loại C: Phim không được phép phổ biến.
Đưa ra suy luận của bạn: Dựa trên Điều 32 Luật Điện ảnh, phim thuộc loại C không được phép phổ biến.
Kết luận: Có ý kiến sai lầm rằng trẻ em dưới 13 tuổi chỉ được xem phim loại C nếu có cha mẹ hoặc người giám hộ đi kèm. "
DS-34,"Nhà văn hóa, đơn vị chiếu phim, câu lạc bộ và hiệp hội chiếu phim công cộng, đội chiếu phim lưu động của Việt Nam được phép tham gia hợp tác kinh doanh với nhà cung cấp dịch vụ nước ngoài là đúng hay sai?",Luật Điện ảnh,8,"
Trích lại điều luật: Điều 8 Luật Điện ảnh
Đưa ra suy luận của bạn: Theo Điều 8 Luật Điện ảnh, nhà văn hóa, đơn vị chiếu phim, câu lạc bộ và hiệp hội chiếu phim công cộng, đội chiếu phim lưu động của Việt Nam không được phép tham gia hợp đồng hợp tác kinh doanh hoặc liên doanh với nhà cung cấp dịch vụ nước ngoài.
Kết luận: Hoàn toàn sai "
DS-35,"Chương trình giáo dục cần phải thể hiện mục tiêu giáo dục và yêu cầu người học phải đạt về phẩm chất và năng lực tương ứng, đúng hay sai?",Luật Giáo dục,8,"
Trích lại điều luật: Điều 8 Luật Giáo dục: 1. Chương trình giáo dục thể hiện mục tiêu giáo dục; quy định chuẩn kiến thức, kỹ năng, yêu cầu cần đạt về phẩm chất và năng lực của người học; phạm vi và cấu trúc nội dung giáo dục; phương pháp và hình thức tổ chức hoạt động giáo dục; cách thức đánh giá kết quả giáo dục đối với các môn học ở mỗi lớp học, mỗi cấp học hoặc các môn học, mô-đun, ngành học đối với từng trình độ đào tạo.

Đưa ra suy luận của bạn: Dựa trên Điều 8 Luật Giáo dục, một chương trình giáo dục nên bao gồm mục tiêu giáo dục, chuẩn kiến thức, kỹ năng và yêu cầu cần đạt về phẩm chất và năng lực của người học, cũng như phạm vi và cấu trúc nội dung giáo dục, phương pháp và hình thức tổ chức hoạt động giáo dục, và cách thức đánh giá kết quả giáo dục"
DS-36,"Phim đã được Bộ Văn hóa, Thể thao và Du lịch, Ủy ban nhân dân cấp tỉnh cấp giấy phép phân loại phim sẽ có giá trị trên toàn quốc là đúng hay sai? ",Luật Điện ảnh,27,"
Trích lại điều luật: Điều 27 Luật Điện ảnh: 2. Giấy phép phân loại phim do Bộ Văn hóa, Thể thao và Du lịch, Ủy ban nhân dân cấp tỉnh cấp có giá trị trong toàn quốc.

Đưa ra suy luận của bạn: Dựa trên Điều 27, giấy phép phân loại phim do Bộ Văn hóa, Thể thao và Du lịch hoặc Ủy ban nhân dân cấp tỉnh cấp có hiệu lực trên toàn quốc.

Kết luận: Hoàn Toàn Đúng "
DS-37,"Luật trọng tài thương mại có thẩm quyền giải quyết tranh chấp giữa các bên không có hoạt động thương mại và pháp luật không quy định được giải quyết bằng trọng tài, đúng hay sai?",Luật Trọng tài thương mại,2,"
Trích dẫn điều luật: Điều 2 Luật Trọng tài thương mại: text: Thẩm quyền giải quyết các tranh chấp của Trọng tài

Suy luận: Theo Điều 2 Luật Trọng tài thương mại, Trọng tài có thẩm quyền giải quyết tranh chấp giữa các bên phát sinh từ hoạt động thương mại hoặc tranh chấp phát sinh giữa các bên trong đó ít nhất một bên có hoạt động thương mại.

Kết luận: Hoàn toàn sai "
DS-38,"Vợ, chồng phải đóng góp tài sản riêng của mình để đáp ứng nhu cầu thiết yếu của gia đình, đúng hay sai?",Luật Hôn nhân và gia đình,30,"
Trích lại điều luật: Điều 30 Luật Hôn nhân và gia đình: 2. Trong trường hợp vợ chồng không có tài sản chung hoặc tài sản chung không đủ để đáp ứng nhu cầu thiết yếu của gia đình thì vợ, chồng có nghĩa vụ đóng góp tài sản riêng theo khả năng kinh tế của mỗi bên.
Đưa ra suy luận của bạn: Nếu vợ chồng không có tài sản chung hoặc tài sản chung không đủ để đáp ứng nhu cầu thiết yếu của gia đình, họ sẽ cần sử dụng tài sản riêng của mình để đáp ứng những nhu cầu đó.
Kết luận: Hoàn toàn đúng "
DS-39,"Bộ Giáo dục và Đào tạo chịu trách nhiệm về việc quy định việc liên thông giữa các cấp học, trình độ đào tạo trong hệ thống giáo dục quốc dân.",Luật Giáo dục,10,"
Trích lại điều luật: Điều 10 Luật Giáo dục: 3. Chính phủ quy định chi tiết về liên thông giữa các cấp học, trình độ đào tạo trong hệ thống giáo dục quốc dân.
Đưa ra suy luận của bạn: Dựa trên Điều 10 Luật Giáo dục, Chính phủ sẽ quy định chi tiết về liên thông giữa các cấp học, trình độ đào tạo trong hệ thống giáo dục quốc dân.
Kết luận: Hoàn Toàn Đúng "
DS-40,"Cơ quan nhà nước có thẩm quyền theo dõi, kiểm tra, và giám sát các hoạt động nghiên cứu, sản xuất chất ma túy (không bao gồm trồng cây có chứa chất ma túy), đúng hay sai?","Luật Phòng, chống ma túy",13,"
Trích lại điều luật: Điều 13 Luật Phòng, chống ma túy: 1. Hoạt động nghiên cứu, giám định, sản xuất chất ma túy (không bao gồm trồng cây có chứa chất ma túy), tiền chất phải được cơ quan nhà nước có thẩm quyền theo dõi, kiểm tra, giám sát.
Đưa ra suy luận của bạn: Theo Điều 13 Luật Phòng, chống ma túy, hoạt động nghiên cứu, giám định, sản xuất chất ma túy không bao gồm trồng cây có chứa chất ma túy phải được cơ quan nhà nước có thẩm quyền theo dõi, kiểm tra, giám sát.
Kết luận: Hoàn toàn đúng "
DS-41,"Cơ sở cai nghiện ma túy không có trách nhiệm cấp giấy xác nhận hoàn thành cai nghiện ma túy tự nguyện cho người cai nghiện ma túy, đúng hay sai?","Luật Phòng, chống ma túy",31,"
Trích lại điều luật: Điều 31 Luật Phòng, chống ma túy: 4. Cơ sở cai nghiện ma túy có trách nhiệm cấp giấy xác nhận hoàn thành cai nghiện ma túy tự nguyện cho người cai nghiện ma túy.

Đưa ra suy luận của bạn: Theo Điều 31 Luật Phòng, chống ma túy, cơ sở cai nghiện ma túy phải cấp giấy xác nhận hoàn thành cai nghiện ma túy tự nguyện cho người cai nghiện ma túy.

Kết luận: Hoàn toàn đúng "
