example_id,label,id,article_id,statement
q-13,từ 03 năm đến 10 năm,01/VBHN-VPQH,409,"Người không chấp hành nghiêm chỉnh chế độ trực ban, trực chiến, trực chỉ huy gây hậu quả rất nghiêm trọng hoặc đặc biệt nghiêm trọng, thì bị phạt tù từ bao nhiêu đến bao nhiêu năm?"
q-14,02 năm,01/VBHN-VPQH,403,"Người tự gây thương tích, gây tổn hại cho sức khỏe của mình hoặc dùng thủ đoạn gian dối khác để trốn tránh nhiệm vụ, thì bị phạt cải tạo không giam giữ đến bao nhiêu năm?"
q-15,từ 07 năm đến 15 năm,01/VBHN-VPQH,399,Người là sĩ quan đầu hàng địch thì bị phạt tù từ bao nhiêu đến bao nhiêu năm?
q-16,từ 02 năm đến 05 năm,01/VBHN-VPQH,397,"Người trong quan hệ công tác mà xúc phạm nghiêm trọng nhân phẩm, danh dự đồng đội, dẫn đến nạn nhân tự sát thì bị phạt tù từ bao nhiêu đến bao nhiêu năm?"
q-17,từ 06 tháng đến 03 năm,01/VBHN-VPQH,386,"Người đang bị tạm giữ, tạm giam, áp giải, xét xử hoặc chấp hành án phạt tù mà bỏ trốn, thì bị phạt tù từ bao lâu đến bao lâu?"
q-18,từ 01 năm đến 05 năm,01/VBHN-VPQH,357,Người phạm tội lạm quyền trong khi thi hành công vụ còn bị cấm đảm nhiệm chức vụ nhất định từ bao nhiêu đến bao nhiêu năm?
q-19,từ 10.000.000 đồng đến 100.000.000 đồng,01/VBHN-VPQH,357,Người phạm tội lạm quyền trong khi thi hành công vụ còn có thể bị phạt tiền từ bao nhiêu đến bao nhiêu tiền?
q-20,từ 5.000.000 đồng đến 50.000.000 đồng,01/VBHN-VPQH,347,"Người xuất cảnh, nhập cảnh trái phép hoặc ở lại Việt Nam trái phép, đã bị xử phạt vi phạm hành chính về hành vi này mà còn vi phạm, thì bị phạt tiền từ bao nhiêu đến bao nhiêu?"
q-21,từ 06 tháng đến 03 năm,01/VBHN-VPQH,347,"Người xuất cảnh, nhập cảnh trái phép hoặc ở lại Việt Nam trái phép, đã bị xử phạt vi phạm hành chính về hành vi này mà còn vi phạm, thì bị phạt tù từ bao lâu đến bao lâu?"
q-22,từ 03 năm đến 07 năm,01/VBHN-VPQH,345,"Người gây hư hại di tích lịch sử - văn hóa, danh lam, thắng cảnh có giá trị từ 500.000.000 đồng trở lên, thì bị phạt tù từ bao lâu đến bao lâu?"
q-23,từ 5.000.000 đồng đến 50.000.000 đồng,01/VBHN-VPQH,343,Người phạm tội vi phạm các quy định về quản lý nhà ở còn có thể bị phạt tiền từ bao nhiêu đến bao nhiêu?
q-24,02 năm,01/VBHN-VPQH,342,"Người chiếm đoạt, mua bán hoặc tiêu hủy trái phép con dấu, tài liệu của cơ quan, tổ chức không thuộc tài liệu bí mật nhà nước hoặc bí mật công tác, thì bị phạt cải tạo không giam giữ đến bao lâu?"
q-25,02 năm,01/VBHN-VPQH,339,"Người giả mạo chức vụ, cấp bậc, vị trí công tác thực hiện hành vi trái pháp luật nhưng không nhằm mục đích chiếm đoạt tài sản, thì bị phạt cải tạo không giam giữ đến bao lâu?"
q-26,02 năm,01/VBHN-VPQH,335,"Người cố ý cản trở việc đăng ký nghĩa vụ quân sự, gọi nhập ngũ, gọi tập trung huấn luyện, thì bị phạt cảnh cáo, phạt cải tạo không giam giữ đến bao lâu?"
q-27,từ 02 năm đến 05 năm,01/VBHN-VPQH,335,"Người phạm tội cản trở thực hiện nghĩa vụ quân sự trong thời chiến, thì bị phạt tù từ bao lâu đến bao lâu?"
q-28,03 năm,01/VBHN-VPQH,336,"Người có nhiệm vụ, quyền hạn mà thực hiện việc đăng ký, cấp giấy tờ về hộ tịch trái pháp luật, đã bị xử lý kỷ luật về hành vi này mà còn vi phạm, thì bị phạt cảnh cáo, phạt cải tạo không giam giữ đến bao lâu?"
q-29,03 năm,01/VBHN-VPQH,334,"Người lợi dụng chức vụ, quyền hạn làm trái quy định về đăng ký nghĩa vụ quân sự, gọi nhập ngũ, gọi tập trung huấn luyện, thì bị phạt cải tạo không giam giữ đến bao lâu?"
q-30,từ 01 đến 05 năm,01/VBHN-VPQH,332,"Người phạm tội trốn tránh nghĩa vụ quân sự trong thời chiến, thì bị phạt tù từ bao nhiêu năm đến bao nhiêu năm?"
q-31,03 năm,01/VBHN-VPQH,330,"Người dùng vũ lực, đe dọa dùng vũ lực hoặc dùng thủ đoạn khác cản trở người thi hành công vụ thực hiện công vụ của họ, thì bị phạt cải tạo không giam giữ đến bao lâu?"
q-32,từ 01 năm đến 05 năm,01/VBHN-VPQH,329,"Theo Bộ luật Hình sự 2017, người đủ 18 tuổi trở lên mua dâm người dưới 18 tuổi trừ trường hợp quy định tại điểm b khoản 1 Điều 142 của Bộ luật này, thì bị phạt tù từ bao lâu đến bao lâu?"
q-33,từ 10.000.000 đồng đến 50.000.000 đồng,01/VBHN-VPQH,329,"Theo Bộ luật Hình sự 2017, người phạm tội mua dâm người dưới 18 tuổi còn bị phạt tiền từ bao nhiêu đến bao nhiêu?"
q-34,từ 20.000.000 đồng đến 100.000.000 đồng,01/VBHN-VPQH,321,"Người đánh bạc trái phép dưới bất kỳ hình thức nào được thua bằng tiền hay hiện vật trị giá từ 5.000.000 đồng đến dưới 50.000.000 đồng, thì bị phạt tiền từ bao nhiêu đến bao nhiêu?"
q-35,03 năm,01/VBHN-VPQH,321,"Người đánh bạc trái phép dưới bất kỳ hình thức nào được thua bằng tiền hay hiện vật trị giá từ 5.000.000 đồng đến dưới 50.000.000 đồng, thì bị phạt cải tạo không giam giữ đến bao nhiêu năm?"
q-36,từ 10.000.000 đồng đến 50.000.000 đồng,01/VBHN-VPQH,321,Người phạm tội đánh bạc còn có thể bị phạt tiền từ bao nhiêu đến bao nhiêu?
q-37,03 năm,01/VBHN-VPQH,320,"Người nào dùng bói toán, đồng bóng hoặc các hình thức mê tín, dị đoan khác đã bị xử phạt vi phạm hành chính về hành vi này hoặc đã bị kết án về tội này, chưa được xóa án tích mà còn vi phạm, thì bị phạt cải tạo không giam giữ đến bao lâu?"
q-38,từ 07 năm đến 15 năm,01/VBHN-VPQH,316,Người thực hiện việc phá thai trái phép cho người khác dẫn đến làm chết 03 người trở lên thì bị phạt tù từ bao lâu đến bao lâu?
q-39,từ 06 tháng đến 03 năm,01/VBHN-VPQH,247,"Người trồng cây thuốc phiện với số lượng từ 500 cây đến dưới 3.000 cây, thì bị phạt tù từ bao lâu đến bao lâu?"
q-40,từ 03 năm đến 07 năm,01/VBHN-VPQH,247,Người trồng cây thuốc phiện với số lượng 3.000 cây trở lên thì bị phạt tù từ bao lâu đến bao lâu?
q-41,từ 03 năm đến 07 năm,01/VBHN-VPQH,247,Người trồng cây cần sa có tổ chức thì bị phạt tù từ bao lâu đến bao lâu?
q-42,từ 5.000.000 đồng,01/VBHN-VPQH,247,"Người phạm tội trồng cây thuốc phiện, cây côca, cây cần sa còn có thể bị phạt tiền từ bao nhiêu?"
q-43,không,01/VBHN-VPQH,8,Những hành vi tuy có dấu hiệu của tội phạm nhưng tính chất nguy hiểm cho xã hội không đáng kể thì có phải là tội phạm không?
q-44,Bộ luật Hình sự,01/VBHN-VPQH,8,Tội phạm là hành vi nguy hiểm cho xã hội được quy định trong Bộ luật nào?
q-45,04 loại,01/VBHN-VPQH,9,"Căn cứ vào tính chất và mức độ nguy hiểm cho xã hội của hành vi phạm tội được quy định trong Bộ luật Hình sự, tội phạm được phân thành mấy loại?"
q-46,03 năm,01/VBHN-VPQH,9,Tội phạm ít nghiêm trọng có mức cao nhất của khung hình phạt do Bộ luật Hình sự quy định đối với tội ấy là phạt tù đến mấy năm?
q-47,"điều 123, 134, 141, 142, 143, 144, 150, 151, 168, 169, 170, 171, 173, 178, 248, 249, 250, 251, 252, 265, 266, 286, 287, 289, 290, 299, 303 và 304",01/VBHN-VPQH,12,"Theo Bộ luật Hình sự năm 2017, người từ đủ 14 tuổi đến dưới 16 tuổi phải chịu trách nhiệm hình sự về tội phạm rất nghiêm trọng, tội phạm đặc biệt nghiêm trọng quy định tại một trong các điều nào của Bộ luật này?"
q-48,"dùng rượu, bia hoặc chất kích thích mạnh khác",01/VBHN-VPQH,13,"Người phạm tội trong tình trạng mất khả năng nhận thức hoặc khả năng điều khiển hành vi của mình do dùng chất gì, thì vẫn phải chịu trách nhiệm hình sự?"
q-49,"điều 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 123, 134, 168, 169, 207, 299, 300, 301, 302, 303 và 324",01/VBHN-VPQH,14,Người chuẩn bị phạm tội quy định tại một trong các điều nào của Bộ luật Hình sự thì phải chịu trách nhiệm hình sự?
q-50,"Điều 123, Điều 168",01/VBHN-VPQH,14,Người từ đủ 14 tuổi đến dưới 16 tuổi chuẩn bị phạm tội quy định tại điều nào của Bộ luật Hình sự thì phải chịu trách nhiệm hình sự?
q-51,tội phạm chưa đạt,01/VBHN-VPQH,15,Người phạm tội chưa đạt phải chịu trách nhiệm hình sự về tội phạm nào?
q-52,cố ý thực hiện tội phạm nhưng không thực hiện được đến cùng vì những nguyên nhân ngoài ý muốn của người phạm tội,01/VBHN-VPQH,15,Phạm tội chưa đạt là gì?
q-53,"tự mình không thực hiện tội phạm đến cùng, tuy không có gì ngăn cản",01/VBHN-VPQH,16,Tự ý nửa chừng chấm dứt việc phạm tội là gì?
q-54,tội định phạm,01/VBHN-VPQH,16,Người tự ý nửa chừng chấm dứt việc phạm tội được miễn trách nhiệm hình sự về tội nào?
q-55,hình thức đồng phạm có sự câu kết chặt chẽ giữa những người cùng thực hiện tội phạm,01/VBHN-VPQH,17,Phạm tội có tổ chức là gì?
q-56,người trực tiếp thực hiện tội phạm,01/VBHN-VPQH,17,Người thực hành là ai?
q-57,"người chủ mưu, cầm đầu, chỉ huy việc thực hiện tội phạm",01/VBHN-VPQH,17,Người tổ chức là ai?
q-58,"người tổ chức, người thực hành, người xúi giục, người giúp sức",01/VBHN-VPQH,17,Người đồng phạm bao gồm những ai?
q-59,"người kích động, dụ dỗ, thúc đẩy người khác thực hiện tội phạm",01/VBHN-VPQH,17,Người xúi giục là ai?
q-60,người tạo điều kiện tinh thần hoặc vật chất cho việc thực hiện tội phạm,01/VBHN-VPQH,17,Người giúp sức là ai?
q-61,người thực hành,01/VBHN-VPQH,17,Người đồng phạm không phải chịu trách nhiệm hình sự về hành vi vượt quá của ai?
q-62,không,01/VBHN-VPQH,20,"Người thực hiện hành vi gây hậu quả nguy hại cho xã hội trong trường hợp không thể thấy trước hoặc không buộc phải thấy trước hậu quả của hành vi đó, thì có phải chịu trách nhiệm hình sự không?"
q-63,không,01/VBHN-VPQH,21,"Người thực hiện hành vi nguy hiểm cho xã hội trong khi đang mắc bệnh tâm thần, một bệnh khác làm mất khả năng nhận thức hoặc khả năng điều khiển hành vi của mình, thì có phải chịu trách nhiệm hình sự không?"
q-64,không,01/VBHN-VPQH,22,Phòng vệ chính đáng có phải là tội phạm không?
q-65,hình sự,01/VBHN-VPQH,22,Người có hành vi vượt quá giới hạn phòng vệ chính đáng phải chịu trách nhiệm gì theo quy định của Bộ luật Hình sự?
q-66,"hành vi chống trả rõ ràng quá mức cần thiết, không phù hợp với tính chất và mức độ nguy hiểm cho xã hội của hành vi xâm hại",01/VBHN-VPQH,22,Vượt quá giới hạn phòng vệ chính đáng là gì?
q-67,"tình thế của người vì muốn tránh gây thiệt hại cho quyền, lợi ích hợp pháp của mình, của người khác hoặc lợi ích của Nhà nước, của cơ quan, tổ chức mà không còn cách nào khác là phải gây một thiệt hại nhỏ hơn thiệt hại cần ngăn ngừa.",01/VBHN-VPQH,23,Tình thế cấp thiết là gì?
q-68,không,01/VBHN-VPQH,23,Hành vi gây thiệt hại trong tình thế cấp thiết có phải là tội phạm không?
q-69,Trong trường hợp thiệt hại gây ra rõ ràng vượt quá yêu cầu của tình thế cấp thiết,01/VBHN-VPQH,23,Người gây thiệt hại trong tình thế cấp thiết phải chịu trách nhiệm hình sự trong trường hợp nào?
q-70,thời hạn do Bộ luật này quy định mà khi hết thời hạn đó thì người phạm tội không bị truy cứu trách nhiệm hình sự,01/VBHN-VPQH,27,"Trong Bộ luật Hình sự năm 2017, thời hiệu truy cứu trách nhiệm hình sự là gì?"
q-71,05 năm,01/VBHN-VPQH,27,Thời hiệu truy cứu trách nhiệm hình sự được quy định bao nhiêu năm đối với tội phạm ít nghiêm trọng?
q-72,10 năm,01/VBHN-VPQH,27,Thời hiệu truy cứu trách nhiệm hình sự được quy định bao nhiêu năm đối với tội phạm nghiêm trọng?
q-73,15 năm,01/VBHN-VPQH,27,Thời hiệu truy cứu trách nhiệm hình sự được quy định bao nhiêu năm đối với tội phạm rất nghiêm trọng?
q-74,20 năm,01/VBHN-VPQH,27,Thời hiệu truy cứu trách nhiệm hình sự được quy định bao nhiêu năm đối với tội phạm đặc biệt nghiêm trọng?
q-75,"là biện pháp cưỡng chế nghiêm khắc nhất của Nhà nước được quy định trong Bộ luật này, do Tòa án quyết định áp dụng đối với người hoặc pháp nhân thương mại phạm tội nhằm tước bỏ hoặc hạn chế quyền, lợi ích của người, pháp nhân thương mại đó.",01/VBHN-VPQH,30,"Theo Bộ luật Hình sự 2017, hình phạt là gì?"
q-76,"Hình phạt không chỉ nhằm trừng trị người, pháp nhân thương mại phạm tội mà còn giáo dục họ ý thức tuân theo pháp luật và các quy tắc của cuộc sống, ngăn ngừa họ phạm tội mới; giáo dục người, pháp nhân thương mại khác tôn trọng pháp luật, phòng ngừa và đấu tranh chống tội phạm.",01/VBHN-VPQH,31,"Theo Bộ luật Hình sự 2017, mục đích của hình phạt là gì?"
q-77,một,01/VBHN-VPQH,32,"Đối với mỗi tội phạm, người phạm tội chỉ bị áp dụng mấy hình phạt chính?"
q-78,"ít nghiêm trọng và có nhiều tình tiết giảm nhẹ, nhưng chưa đến mức miễn hình phạt",01/VBHN-VPQH,34,"Theo Bộ luật Hình sự năm 2017, cảnh cáo được áp dụng đối với người phạm tội như thế nào?"
q-79,buộc người nước ngoài bị kết án phải rời khỏi lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam.,01/VBHN-VPQH,37,"Theo Bộ luật Hình sự năm 2017, trục xuất là gì?"
q-80,"xác định theo tiêu chuẩn về chất lượng của tài sản đã được công bố, quy định của cơ quan nhà nước có thẩm quyền hoặc theo tiêu chuẩn ngành nghề",91/2015/QH13,432,Nếu các bên không thoả thuận về chất lượng tài sản mua bán thì chất lượng tài sản được xác định như thế nào?
q-81,xác định theo giá thị trường,91/2015/QH13,433,Giá tài sản được xác định như thế nào nếu không có thoả thuận rõ ràng về giá?
q-82,phương thức thanh toán được xác định theo tập quán tại địa điểm và thời điểm giao kết hợp đồng,91/2015/QH13,433,Nếu hai bên không có thoả thuận về phương thức thanh toán thì phương thức thanh toán được xác định như thế nào?
q-83,ngay tại thời điểm nhận tài sản mua hoặc nhận giấy tờ chứng nhận quyền sở hữu tài sản,91/2015/QH13,434,Nếu hai bên không xác định rõ ràng thời gian thanh toán thì bên mua cần thanh toán lúc nào?
q-84,quyền nhận hoặc không nhận phần dôi ra,91/2015/QH13,437,Bên mua có quyền gì khi bên bán giao số lượng tài sản nhiều hơn đã thoả thuận?
q-85,"trả lãi đối với số tiền đã trả theo lãi suất thỏa thuận giữa các bên nhưng không được vượt quá mức lãi suất được quy định tại khoản 1 Điều 468 của Bộ luật này; nếu không có thỏa thuận thì thực hiện theo quy định tại khoản 2 Điều 468 của Bộ luật này và yêu cầu bên bán bồi thường thiệt hại do giao vật không đồng bộ, kể từ thời điểm phải thực hiện hợp đồng cho đến khi vật được giao đồng bộ",91/2015/QH13,438,Bên mua được trả lãi như thế nào nếu bên mua đã trả tiền nhưng vật không được giao đồng bộ?
q-86,xác định tương ứng với thời hạn giao tài sản,91/2015/QH13,440,Nếu bên bán và bên mua chỉ thoả thuận về thời hạn giao tài sản thì thời hạn thanh toán tiền được xác định như thế nào?
q-87,tại thời điểm nhận tài sản,91/2015/QH13,440,Bên mua cần thanh toán tiền lúc nào trong trường hợp các bên không có thoả thuận về thời gian giao tài sản và thời hạn thanh toán?
q-88,kể từ thời điểm hoàn thành thủ tục đăng ký,91/2015/QH13,441,Bên mua chịu rủi ro từ thời điểm nào khi tài sản trong hợp đồng mua bán phải đăng ký quyền sở hữu theo quy định của pháp luật?
q-89,cho đến khi hoàn thành thủ tục đăng ký,91/2015/QH13,441,Thời điểm chịu rủi ro của bên bán như thế nào nếu tài sản trong hợp đồng mua bán phải đăng ký quyền sở hữu theo quy định của pháp luật?
q-90,"xác định theo chi phí đã được công bố, quy định của cơ quan có thẩm quyền hoặc theo tiêu chuẩn ngành nghề",91/2015/QH13,442,Chi phí vận chuyển và chi phí liên quan đến việc chuyển quyền sở hữu được xác định như thế nào khi các bên không có thoả thuận rõ ràng?
q-91,quyền hủy bỏ hợp đồng và yêu cầu bên bán bồi thường thiệt hại,91/2015/QH13,444,Bên mua có quyền gì nếu tài sản mua bán bị người thứ ba tranh chấp do có quyền sở hữu một phần tài sản đó?
q-92,"quyền yêu cầu giảm giá, đổi vật có khuyết tật lấy vật khác hoặc trả lại vật và lấy lại tiền",91/2015/QH13,448,Trong thời hạn bảo hành bên mua có quyền gì nếu bên bán không thể sửa chữa được vật có khuyết tật về kỹ thuật?
q-93,nếu chứng minh được thiệt hại xảy ra do lỗi của bên mua,91/2015/QH13,449,Trong thời hạn bảo hành bên bán không phải bồi thường thiệt hại khi nào?
q-94,"thời điểm bên mua nhận được giấy tờ về quyền sở hữu đối với quyền tài sản đó hoặc từ thời điểm đăng ký việc chuyển quyền sở hữu, nếu pháp luật có quy định",91/2015/QH13,450,Đối với mua bán quyền tài sản thì thời điểm chuyển quyền sở hữu là khi nào?
q-95,bên bán,91/2015/QH13,452,Trong thời gian dùng thử vật mua thuộc sở hữu của bên nào?
q-96,"sự thỏa thuận giữa các bên, theo đó các bên giao tài sản và chuyển quyền sở hữu đối với tài sản cho nhau",91/2015/QH13,455,Hợp đồng trao đổi tài sản là gì?
q-97,kể từ thời điểm chuyển giao tài sản,91/2015/QH13,459,Hợp đồng tặng cho bất động sản có hiệu lực khi nào nếu bất động sản không phải đăng ký quyền sở hữu?
q-98,"có thể trả bằng tiền theo trị giá của vật đã vay tại địa điểm và thời điểm trả nợ, nếu được bên cho vay đồng ý",91/2015/QH13,466,Bên vay có nghĩa vụ gì nếu không thể trả vật cùng loại đúng số lượng chất lượng?
q-99,khi trả lại tài sản thuê,91/2015/QH13,481,Nếu các bên không có thoả thuận về thời hạn trả tiền thuê và không thể xác định được thời hạn theo tập quán nơi trả tiền thì khi nào bên thuê cần trả tiền?
q-100,"quyền yêu cầu bên thuê trả lại tài sản thuê, trả tiền thuê trong thời gian chậm trả và phải bồi thường thiệt hại",91/2015/QH13,482,Bên cho thuê có quyền gì nếu bên thuê chậm trả tài sản thuê?
q-101,"tài sản do các thành viên đóng góp, cùng tạo lập và tài sản khác theo quy định của pháp luật",91/2015/QH13,506,Tài sản chung của các thành viên hợp tác là gì?
q-102,"quyền yêu cầu nhận lại tài sản đã đóng góp, được chia phần tài sản trong khối tài sản chung và phải thanh toán các nghĩa vụ theo thỏa thuận",91/2015/QH13,510,Thành viên rút khỏi hợp đồng hợp tác có quyền gì?
q-103,quyền giảm tiền dịch vụ và yêu cầu bồi thường thiệt hại,91/2015/QH13,519,Bên sử dụng dịch vụ có quyền gì khi dịch vụ cung ứng không đạt được như thoả thuận?
q-104,quyền đơn phương chấm dứt thực hiện hợp đồng và yêu cầu bồi thường thiệt hại,91/2015/QH13,520,Bên cung ứng dịch vụ có quyền gì nếu bên sử dụng dịch vụ vi phạm nghiêm trọng nghĩa vụ thoả thuận trong hợp đồng?
q-105,thanh toán chi phí chờ đợi và tiền vận chuyển tài sản đến địa điểm đã thỏa thuận trong hợp đồng cho bên vận chuyển,91/2015/QH13,532,Bên thuê vận chuyển có trách nhiệm gì nếu giao tài sản không đúng thời hạn như thoả thuận?
q-106,bồi thường thiệt hại xảy ra cho bên đặt gia công,91/2015/QH13,548,Bên nhận gia công có trách nhiệm gì khi chậm giao sản phẩm mà có rủi ro đối với sản phẩm?
q-107,áp dụng mức tiền công trung bình đối với việc tạo ra sản phẩm cùng loại tại địa điểm gia công và vào thời điểm trả tiền,91/2015/QH13,552,Mức tiền công được xác định như nào khi các bên không có thoả thuận về mức tiền?
q-108,mỗi người được nhận một phần của phần thưởng tương ứng với phần đóng góp của mình,91/2015/QH13,572,Trả thưởng như thế nào nếu nhiều người cùng cộng tác để hoàn thành công việc được hứa thưởng?
q-109,"hoàn trả hoa lợi, lợi tức thu được từ thời điểm chiếm hữu, sử dụng tài sản, được lợi về tài sản không có căn cứ pháp luật",91/2015/QH13,581,"Nghĩa vụ của người chiếm hữu, người sử dụng tài sản, người được hưởng lợi về tài sản mà không có căn cứ pháp luật và không ngay tình?"
q-110,"03 năm, kể từ ngày người có quyền yêu cầu biết hoặc phải biết quyền, lợi ích hợp pháp của mình bị xâm phạm",91/2015/QH13,588,Thời hiệu yêu cầu bồi thường thiệt hại là bao lâu?
q-111,không,91/2015/QH13,594,Có phải bồi thường cho người bị thiệt hại khi phòng vệ chính đáng không?
q-112,"người bị thiệt hại được hưởng bồi thường từ thời điểm mất hoàn toàn khả năng lao động cho đến khi chết, trừ trường hợp có thỏa thuận khác",91/2015/QH13,593,Bên gây thiệt hại phải bồi thường như thế nào khi người bị thiệt hại mất hoàn toàn khả năng lao động?
q-113,"người đang chiếm hữu, sử dụng, quản lý di sản",91/2015/QH13,616,Ai là người quản lý di sản khi di chúc không chỉ định người quản lý di sản?
q-114,trước thời điểm phân chia di sản,91/2015/QH13,620,Từ chối nhận di sản cần được thực hiện khi nào?
q-115,"30 năm đối với bất động sản, 10 năm đối với động sản, kể từ thời điểm mở thừa kế",91/2015/QH13,623,Thời hiệu khởi kiện về thừa kế tài sản là bất động sản như thế nào?
q-116,phải được người làm chứng lập thành văn bản và có công chứng hoặc chứng thực,91/2015/QH13,630,Di chúc của người không biết chữ như thế nào là hợp pháp?
q-117,"có chứng nhận của cơ quan lãnh sự, đại diện ngoại giao Việt Nam ở nước đó",91/2015/QH13,638,Di chúc của công dân Việt Nam đang ở nước ngoài cần điều kiện gì để có giá trị như di chúc được công chứng?
q-118,phần bổ sung,91/2015/QH13,640,Phần bổ sung mâu thuẫn với một phần của di chúc đã lập thì phần nào có hiệu lực?
q-119,chia lại theo di chúc nếu người thừa kế theo di chúc yêu cầu,91/2015/QH13,642,Đã tiến hành chia di sản mà tìm lại được di chúc thất lạc thì chia như thế nào?
q-120,từ thời điểm mở thừa kế,91/2015/QH13,643,Di chúc có hiệu lực khi nào?
q-121,không,91/2015/QH13,645,Có được chia thừa kế di sản cho việc thờ cúng không?
q-122,công chứng viên,91/2015/QH13,647,Ai công bố di chúc nếu di chúc bằng văn bản được lưu tại tổ chức hành nghề công chứng?
q-123,"di sản được chia đều cho những người được chỉ định trong di chúc, trừ trường hợp có thỏa thuận khác",91/2015/QH13,659,Di chúc không xác định rõ từng phần của từng người thừa kế thì chia thế nào?
q-124,danh sách và địa chỉ của những người này kèm theo danh sách những người lao động làm việc với họ,45/2019/QH14,100,Người cai thầu hoặc người có vai trò trung gian tương tự thì người sử dụng lao động là chủ chính phải có những gì của người lao động?
q-125,người sử dụng lao động là chủ chính,45/2019/QH14,100,Ai là người chiu trách nhiệm khi người lao động không được trả lương?
q-126,do hai bên thỏa thuận,45/2019/QH14,101,Người lao động được tạm tứng tiền và không bị tính lãi theo điều kiện nào?
q-127,không quá 01 tháng tiền lương,45/2019/QH14,101,Người lao động được tạm ứng tối đa là bao nhiêu?
q-128,Người lao động nhập ngũ theo quy định của Luật Nghĩa vụ quân sự,45/2019/QH14,101,Người lao động trong điều kiện nào thì không được tạm ứng tiền lương?
q-129,"bồi thường thiệt hại do làm hư hỏng dụng cụ, thiết bị, tài sản của người sử dụng lao động",45/2019/QH14,102,Người sử dụng lao động chỉ được khấu trừ tiền lương của người lao động trong trường hợp nào?
q-130,không được quá 30% tiền lương thực trả hằng tháng của người lao động,45/2019/QH14,102,Mức khấu trừ tối đa là bao nhiêu?
q-131,"rong hợp đồng lao động, thỏa ước lao động tập thể hoặc quy định của người sử dụng lao động",45/2019/QH14,103,"Chế độ nâng lương, nâng bậc, phụ cấp, trợ cấp được quy định ở đâu?"
q-132,"căn cứ vào kết quả sản xuất, kinh doanh, mức độ hoàn thành công việc của người lao động",45/2019/QH14,104,Thưởng cho người lao động dựa vào điệu kiện gì?
q-133,10 giờ,45/2019/QH14,105,Thời gian làm việc bình thường trong một ngày là bao nhiêu giờ?
q-134,50%,45/2019/QH14,107,Giờ làm thêm không quá bao nhiêu phần trăm so với giờ làm việc bình thường trong 1 ngày?
q-135,không quá 200 giờ trong 01 năm,45/2019/QH14,107,Giờ làm thêm không quá bao nhiêu giờ trừ những trường hợp trong khoảng 3 điều 107 bộ luật lao động.
q-136,thông báo bằng văn bản cho cơ quan chuyên môn về lao động thuộc Ủy ban nhân dân cấp tỉnh,45/2019/QH14,107,"Sau khi tổ chức làm thêm giờ, người sử dụng lao động phải làm gì?"
q-137,ít nhất 30 phút liên tục,45/2019/QH14,109,Người lao dộng làm việc từ 6 giờ trở lên vào ban ngày thì được nghỉ ít nhất trong bao lâu?
